geoName;code_map;arts;Automobile;Affaires;Carrieres;Education;famille;sante;alimentation;Loisirs;jardin;politique;Actualites;Finances;Societe;Science;Animaux;Sports;mode;technologie;voyage;Immobilier;shopping;;;;;;;;;;;;;;;;;;;;;;
Var;fr-pac-vr;0;41;0;29;0;63;0;3;0;72;0;84;0;86;0;7;0;67;0;57;0;69;0;65;0;37;0;7;0;66;0;63;0;54;0;95;0;56;0;37;0;39;0;44
Vaucluse;fr-pac-vc;0;32;0;29;0;58;0;1;0;73;0;93;0;7;0;65;0;6;0;52;0;7;0;55;0;4;0;62;0;63;0;58;0;49;0;88;0;62;0;37;0;35;0;41
Vendée;fr-pdl-vd;0;34;0;44;1;0;2;0;64;0;92;0;63;0;59;0;99;0;56;0;61;0;63;0;36;0;35;0;51;0;68;0;58;0;86;1;0;37;0;35;0;33;;
Vienne;fr-naq-vn;0;32;0;36;0;7;0;3;0;97;0;8;0;61;0;64;0;84;0;5;0;76;0;63;0;49;0;37;0;78;0;63;0;57;0;87;0;59;0;34;0;29;0;36
Vosges;fr-ges-vg;0;24;0;41;0;72;0;3;0;66;0;82;0;87;0;64;0;67;0;48;0;52;0;56;0;37;0;45;0;5;0;72;0;55;0;93;0;58;0;31;0;27;0;36
Yonne;fr-bfc-yo;0;31;0;35;0;67;0;19;0;79;0;8;0;76;0;62;0;85;0;49;0;62;0;46;0;43;0;53;0;55;0;68;0;47;0;92;0;57;0;31;0;31;0;32
Yvelines;fr-idf-yv;0;45;0;38;0;74;1;0;97;0;97;0;65;0;63;0;72;0;47;0;85;0;71;0;55;0;81;0;88;0;53;0;63;0;97;0;8;0;41;0;34;0;45;
empty1;fr-idf-yv;0;45;0;38;0;74;1;0;97;0;97;0;65;0;63;0;72;0;47;0;85;0;71;0;55;0;81;0;88;0;53;0;63;0;97;0;8;0;41;0;34;0;45;
empty2;fr-idf-yv;0;45;0;38;0;74;1;0;97;0;97;0;65;0;63;0;72;0;47;0;85;0;71;0;55;0;81;0;88;0;53;0;63;0;97;0;8;0;41;0;34;0;45;
empty3;fr-idf-yv;0;45;0;38;0;74;1;0;97;0;97;0;65;0;63;0;72;0;47;0;85;0;71;0;55;0;81;0;88;0;53;0;63;0;97;0;8;0;41;0;34;0;45;
empty4;fr-idf-yv;0;45;0;38;0;74;1;0;97;0;97;0;65;0;63;0;72;0;47;0;85;0;71;0;55;0;81;0;88;0;53;0;63;0;97;0;8;0;41;0;34;0;45;
