Campaign Name,Office,Start Date,End Date,date_dif,Status,Price Model,Goal budget,Volume booked,Price,Format,KPI,Impressions,Completes,Clicks,Conversions,Viewability,Budget Spent,Mediacost,Margin,Volume delivered,Achievement,Time,Trend,Rem. Volume,Rem. Day,Rem. Volume / day
Campaign 21,DE,05/02/2020,31/03/2020,55,Ended,CPC,13499.96,30000.00,0.45,Display,Conversion Rate,3025591.00,0,29346,1098,1058505,13 205.70€,8 274.75 €,4 930.95€,29346,97.82%,100.00%,98%,654,0,654
Campaign 22,DE,10/02/2020,23/02/2020,13,Ended,CPM,15000.00,1357466.00,11.00,Display,TBD,1357510.00,0,1080,0,799583,14 932.61€,570.13 €,14 362.48€,1357510,100.00%,100.00%,100%,-44,0,0
Campaign 23,FR,10/02/2020,29/02/2020,19,Ended,CPM,20000.00,2000000.00,10.00,Display,Viewability,2002631.00,0,6309,0,1469837,20 000.00€,1 077.55 €,18 922.45€,2002631,100.13%,100.00%,100%,-2631,0,0
Campaign 24,FR,15/01/2020,02/02/2020,18,Ended,CPC,15000.00,50000.00,0.30,Natif,TBD,18654946.00,0,43165,4954,0,12 949.50€,5 724.54 €,7 224.96€,43165,86.33%,100.00%,86%,6835,0,6835
Campaign 25,FR,21/01/2020,09/02/2020,19,Ended,CPC,29530.64,84373.00,0.35,Natif,TBD,19934241.00,0,98024,325,0,29 530.64€,19 127.68 €,10 402.96€,98024,116.18%,100.00%,116%,-13651,0,0
Campaign 26,FR,27/01/2020,07/02/2020,11,Ended,CPC,3000.00,8824.00,0.34,Natif,TBD,6113030.00,0,15835,11,0,3 000.00€,2 956.01 €,43.99€,15835,179.45%,100.00%,179%,-7011,0,0
Campaign 27,FR,29/01/2020,30/09/2020,245,Paused,CPC,33600.00,112000.00,0.30,Natif,Conversion Rate,8696661.00,0,21650,0,2784631,6 495.00€,790.00 €,5 705.00€,21650,19.33%,28.16%,69%,90350,177,510
Campaign 28,FR,30/01/2020,14/02/2020,15,Ended,CPM,15000.00,1500000.00,10.00,Natif,Viewability,599512.00,0,693,0,502080,5 995.12€,392.20 €,5 602.92€,599512,39.97%,100.00%,40%,900488,0,900488
Campaign 29,FR,31/01/2020,03/02/2020,3,Ended,CPC,8000.00,22857.00,0.35,Natif,Conversion Rate,15320990.00,0,24414,0,3210515,8 000.00€,11 788.02 €,-3 788.02€,24414,106.81%,100.00%,107%,-1557,0,0
Campaign 30,FR,01/02/2020,20/05/2020,109,Live,CPM,46896.73,3908061.00,12.00,Natif,Viewability,2324625.00,0,451,0,2082758,27 895.50€,608.89 €,27 286.61€,2324625,59.48%,60.55%,98%,1583436,44,35987
Campaign 31,FR,01/02/2020,29/02/2020,28,Ended,CPC,17000.00,48571.00,0.35,Natif,Conversion Rate,10993277.00,0,51934,5891,0,17 000.00€,7 176.95 €,9 823.05€,51934,106.92%,100.00%,107%,-3363,0,0
